14474 9 11 13 18
14475 9 15 14 14
14476 9 14 12 18
14477 9 20 12 11
14478 9 8 10 24
14479 9 15 13 14
14480 9 2 2 18
14481 9 15 7 10
14482 9 25 16 13
14483 9 25 20 10
14484 9 8 15 15
14485 9 22 8 7
14486 9 8 4 23
14487 9 8 11 2
14488 9 20 24 6
14489 9 20 13 19
14490 9 25 16 19
14491 9 15 13 15
14492 9 20 23 16
14493 9 14 6 4
14494 9 19 13 3
14495 14 11 25 13
14496 14 11 2 18
14497 22 9 20 0
14498 6 11 20 0
14499 20 11 20 0
14500 10 9 16 19
14501 2 18 9 16
14502 13 18 9 16
14503 14 13 0 0
14504 14 13 10 0
14505 14 16 9 0
14506 14 13 13 19
14507 14 21 0 0
14508 14 11 9 0
14509 14 25 5 0
14510 14 15 16 4
14511 14 18 22 16
14512 14 4 8 5
14513 14 9 6 0
14514 14 14 13 3
14515 14 15 8 22
14516 14 23 11 11
14517 14 15 13 18
14518 14 13 1 0
14519 14 21 14 9
14520 14 14 15 11
14521 14 25 20 10
14522 14 25 20 22
14523 14 8 4 22
14524 14 6 2 6
14525 14 19 10 14
14526 14 13 23 7
14527 14 15 14 11
14528 14 10 2 3
14529 14 20 8 2
14530 14 13 18 2
14531 14 25 2 14
14532 14 5 19 4
14533 14 13 21 1
14534 14 13 2 7
14535 22 14 13 2
14536 22 2 22 2
14537 13 8 8 8
14538 8 5 8 8
14539 20 20 8 8
14540 25 18 8 8
14541 9 18 8 8
14542 8 1 6 8
14543 11 10 8 8
14544 8 5 8 8
14545 9 2 8 8
14546 3 1 8 8
14547 25 4 8 8
14548 8 15 13 14
14549 8 15 11 0
14550 8 15 11 9
14551 8 15 8 19
14552 8 15 16 18
14553 8 15 12 23
14554 8 15 13 18
14555 8 15 15 18
14556 8 15 20 14
14557 8 15 9 10
14558 8 15 3 21
14559 8 15 7 18
14560 8 15 8 25
14561 8 15 15 12
14562 8 15 3 8
14563 8 15 11 15
14564 8 15 9 9
14565 8 15 7 9
14566 8 15 8 22
14567 8 15 22 21
14568 8 15 22 18
14569 8 15 4 4
14570 8 15 2 5
14571 8 15 10 7
